"Original Filename","New Filename","Service Area","Industry","AI Confidence"
"Q32025ElectricalAustin2.jpg","GBI_Electrical_Water-Other_020.jpg","Electrical","Water & Other",""
"Q32025Fabrication1.png","GBI_Tank_Mining-Aggregates_023.png","Tank","Mining & Aggregates",""
"Q32025Fabrication2.png","GBI_Tank_Water-Other_014.png","Tank","Water & Other",""
"Q32025Railroad1.png","GBI_Railroad_Water-Other_005.png","Railroad","Water & Other",""
"Q32025Railroad2.png","GBI_Railroad_Mining-Aggregates_011.png","Railroad","Mining & Aggregates",""
"Q32025Railroad3.png","GBI_Railroad_Mining-Aggregates_012.png","Railroad","Mining & Aggregates",""
"Q32025Railroad4.png","GBI_Railroad_Mining-Aggregates_013.png","Railroad","Mining & Aggregates",""
"Q32025Railroad6.png","GBI_Tank_Mining-Aggregates_024.png","Tank","Mining & Aggregates",""
"Q32025Railroad8.png","GBI_Railroad_Water-Other_006.png","Railroad","Water & Other",""
"Q32025Railroad10.png","GBI_Railroad_Mining-Aggregates_014.png","Railroad","Mining & Aggregates",""
"Q32025SMP1.png","GBI_Tank_Mining-Aggregates_025.png","Tank","Mining & Aggregates",""
"Q32025SMP3.png","GBI_SMP_Power_003.png","SMP","Power",""
"Q32025SMP4.png","GBI_SMP_Power_004.png","SMP","Power",""
"Q32025SMP5.png","GBI_Tank_Mining-Aggregates_026.png","Tank","Mining & Aggregates",""
"Q32025SMP6.png","GBI_SMP_OilGasChem_005.png","SMP","Oil, Gas & Chemical",""
"Q32025Tanks1.jpg","GBI_Tank_Mining-Aggregates_027.jpg","Tank","Mining & Aggregates",""
"Q32025Tanks2.jpg","GBI_Tank_Mining-Aggregates_028.jpg","Tank","Mining & Aggregates",""
"Q32025Tanks3.png","GBI_Tank_Water-Other_015.png","Tank","Water & Other",""
"Q42023ElectricalAustin1.png","GBI_Electrical_AdvancedFacilities_010.png","Electrical","Advanced Facilities",""
"Q42023ElectricalAustin2.png","GBI_Electrical_AdvancedFacilities_011.png","Electrical","Advanced Facilities",""
"Q42023ElectricalAustin3.png","GBI_Electrical_AdvancedFacilities_012.png","Electrical","Advanced Facilities",""
"Q42023Railroad1.jpg","GBI_Railroad_Mining-Aggregates_015.jpg","Railroad","Mining & Aggregates",""
"Q42023Railroad2.jpg","GBI_Railroad_Mining-Aggregates_016.jpg","Railroad","Mining & Aggregates",""
"Q42023Tanks1.png","GBI_SMP_Water-Other_003.png","SMP","Water & Other",""
"Q42023Tanks2.jpg","GBI_SMP_Mining-Aggregates_009.jpg","SMP","Mining & Aggregates",""
"Q42023Tanks3.jpg","GBI_Tank_Power_002.jpg","Tank","Power",""
"Q42023Tanks4.jpg","GBI_Tank_Water-Other_016.jpg","Tank","Water & Other",""
"Q42023Tanks5.jpg","GBI_Electrical_OilGasChem_014.jpg","Electrical","Oil, Gas & Chemical",""
"Q42023Tanks6.jpg","GBI_Electrical_OilGasChem_015.jpg","Electrical","Oil, Gas & Chemical",""
"Q42023Tanks7.jpg","GBI_Tank_OilGasChem_016.jpg","Tank","Oil, Gas & Chemical",""
"Q42024Electrical1.png","GBI_Electrical_Water-Other_021.png","Electrical","Water & Other",""
"Q42024Electrical2.png","GBI_Electrical_OilGasChem_016.png","Electrical","Oil, Gas & Chemical",""
"Q42024ElectricalAustin1.png","GBI_Electrical_Water-Other_022.png","Electrical","Water & Other",""
"Q42024ElectricalAustin2.png","GBI_Electrical_Water-Other_023.png","Electrical","Water & Other",""
"Q42024ElectricalAustin3.png","GBI_Electrical_Water-Other_024.png","Electrical","Water & Other",""
"Q42024Railroad1.jpg","GBI_Railroad_Mining-Aggregates_017.jpg","Railroad","Mining & Aggregates",""
"Q42024Railroad2.jpg","GBI_Railroad_Water-Other_007.jpg","Railroad","Water & Other",""
"Q42024Railroad3.jpg","GBI_Railroad_Mining-Aggregates_018.jpg","Railroad","Mining & Aggregates",""
"Q42024SMP1.png","GBI_Electrical_OilGasChem_017.png","Electrical","Oil, Gas & Chemical",""
"Q42024SMP2.png","GBI_SMP_Water-Other_004.png","SMP","Water & Other",""
"Q42024Tanks1.jpg","GBI_Tank_Mining-Aggregates_029.jpg","Tank","Mining & Aggregates",""
"Q42024Tanks2.jpg","GBI_Tank_OilGasChem_017.jpg","Tank","Oil, Gas & Chemical",""
"Q42024Tanks3.jpg","GBI_Tank_OilGasChem_018.jpg","Tank","Oil, Gas & Chemical",""
"Q42024Tanks4.jpg","GBI_Tank_OilGasChem_019.jpg","Tank","Oil, Gas & Chemical",""
"Q42024Tanks5.jpg","GBI_Tank_OilGasChem_020.jpg","Tank","Oil, Gas & Chemical",""
"Q42024Tanks6.jpg","GBI_Tank_OilGasChem_021.jpg","Tank","Oil, Gas & Chemical",""
"Q42024Tanks7.jpg","GBI_Tank_OilGasChem_022.jpg","Tank","Oil, Gas & Chemical",""
"Q42024Tanks8.jpg","GBI_Tank_OilGasChem_023.jpg","Tank","Oil, Gas & Chemical",""
"Q42024Tanks9.jpg","GBI_Tank_OilGasChem_024.jpg","Tank","Oil, Gas & Chemical",""
"Q42024Tanks10.png","GBI_Tank_OilGasChem_025.png","Tank","Oil, Gas & Chemical",""
"Q42024Tanks11.jpg","GBI_Tank_OilGasChem_026.jpg","Tank","Oil, Gas & Chemical",""
"Q42024Tanks12.png","GBI_Tank_OilGasChem_027.png","Tank","Oil, Gas & Chemical",""
"Q42024Tanks13.png","GBI_Tank_OilGasChem_028.png","Tank","Oil, Gas & Chemical",""
"Q42025Electrical1.png","GBI_Electrical_OilGasChem_018.png","Electrical","Oil, Gas & Chemical",""
"Q42025Electrical2.png","GBI_Electrical_OilGasChem_019.png","Electrical","Oil, Gas & Chemical",""
"Q42025Electrical3.png","GBI_Electrical_Water-Other_025.png","Electrical","Water & Other",""
"Q42025Electrical4.png","GBI_Electrical_OilGasChem_020.png","Electrical","Oil, Gas & Chemical",""
"Q42025Electrical5.png","GBI_Electrical_OilGasChem_021.png","Electrical","Oil, Gas & Chemical",""
"Q42025ElectricalAustin1.png","GBI_Electrical_AdvancedFacilities_013.png","Electrical","Advanced Facilities",""
"Q42025ElectricalAustin2.png","GBI_Electrical_AdvancedFacilities_014.png","Electrical","Advanced Facilities",""
"Q42025Engineering1.png","GBI_Tank_Water-Other_017.png","Tank","Water & Other",""
